Country,Product,Units Sold,Manufacturing_Price,Sale Price,Gross Sales,Discounts,Sales,COGS,Profit,Date,Month_Name,Year
United Kingdom,Luxe,2351,260,20,47020,376.4,46643.6,9410,37233.6,01-11-2020,November,2020
Japan,Luxe,2043,260,300,612900,11496,601404,479000,122404,01-12-2020,December,2020
United Kingdom,Kensington,3565,3,125,445625,15913.13,429711.88,509220,-79508.13,01-04-2020,April,2020
India,Kensington,1401,3,20,28020,1548,26472,25800,672,01-04-2020,April,2020
India,Kensington,2077,3,300,623100,6201,616899,172250,444649,01-06-2020,June,2020
United States of America,Kensington,3643,3,12,43716,700.92,43015.08,5841,37174.08,01-09-2020,September,2020
Japan,Kensington,1105,3,12,13260,326.88,12933.12,2724,10209.12,01-12-2018,December,2020
India,Royal Oak,2960,5,7,20720,411.18,20308.82,9790,10518.82,01-02-2020,February,2020
United Kingdom,Royal Oak,1201,5,12,14412,684.36,13727.64,5703,8024.64,01-06-2020,June,2020
United Kingdom,Royal Oak,2321,5,7,16247,114.24,16132.76,2720,13412.76,01-09-2020,September,2020
India,Royal Oak,3640,5,350,1274000,18868.5,1255131.5,467220,787911.5,01-09-2018,September,2020
Brazil,Mandarin,389,250,350,136150,17241,118909,426920,-308011,01-08-2020,August,2020
India,Mandarin,2745,250,15,41175,875.25,40299.75,19450,20849.75,01-10-2018,October,2020
Japan,Kensington,1459,3,20,29180,498.6,28681.4,8310,20371.4,01-05-2020,May,2020
Brazil,Vermont,3938,10,7,27566,369.6,27196.4,8800,18396.4,01-09-2018,September,2020
Japan,Burlington,4236,120,20,84720,2310.3,82409.7,38505,43904.7,01-04-2020,April,2020
India,Mandarin,3627,250,12,43524,892.44,42631.56,7437,35194.56,01-01-2020,January,2020
Brazil,Royal Oak,1756,5,15,26340,1218.6,25121.4,20310,4811.4,01-10-2020,October,2020
Brazil,Vermont,307,10,15,4605,1218.6,3386.4,20310,-16923.6,01-10-2020,October,2020
United Kingdom,Vermont,4489,10,15,67335,1356.6,65978.4,22610,43368.4,01-12-2018,December,2020
United States of America,Burlington,2167,120,20,43340,588.8,42751.2,7360,35391.2,01-09-2018,September,2020
Japan,Kensington,1137,3,7,7959,798.28,7160.72,14255,-7094.28,01-10-2018,October,2020
India,Kensington,1222,3,300,366600,24252,342348,505250,-162902,01-10-2020,October,2020
United States of America,Kensington,489,3,350,171150,3836,167314,71240,96074,01-12-2020,December,2020
Japan,Royal Oak,4133,5,15,61995,1180.2,60814.8,19670,41144.8,01-03-2020,March,2020
India,Royal Oak,2743,5,300,822900,22308,800592,464750,335842,01-08-2020,August,2020
Japan,Royal Oak,3699,5,7,25893,798.28,25094.72,14255,10839.72,01-10-2018,October,2020
India,Royal Oak,4460,5,300,1338000,24252,1313748,505250,808498,01-10-2020,October,2020
Brazil,Royal Oak,1232,5,125,154000,5690,148310,136560,11750,01-12-2020,December,2020
Japan,Vermont,2586,10,7,18102,1190.28,16911.72,21255,-4343.28,01-01-2020,January,2020
India,Vermont,1332,10,125,166500,3975,162525,95400,67125,01-03-2020,March,2020
India,Vermont,4487,10,300,1346100,16974,1329126,353625,975501,01-04-2020,April,2020
United States of America,Vermont,3862,10,300,1158600,35016,1123584,729500,394084,01-05-2020,May,2020
United States of America,Vermont,1765,10,350,617750,48300,569450,897000,-327550,01-07-2020,July,2020
United Kingdom,Vermont,3533,10,125,441625,14940,426685,358560,68125,01-07-2020,July,2020
Japan,Vermont,2016,10,15,30240,130.8,30109.2,2180,27929.2,01-09-2020,September,2020
Japan,Vermont,2938,10,20,58760,1659.2,57100.8,20740,36360.8,01-09-2020,September,2020
United States of America,Vermont,3352,10,20,67040,844.8,66195.2,10560,55635.2,01-09-2020,September,2020
United States of America,Vermont,4409,10,15,66135,402.6,65732.4,6710,59022.4,01-10-2018,October,2020
Brazil,Vermont,3323,10,15,49845,908.4,48936.6,15140,33796.6,01-10-2018,October,2020
United States of America,Vermont,2430,10,350,850500,3836,846664,71240,775424,01-12-2020,December,2020
Brazil,Vermont,535,10,125,66875,5690,61185,136560,-75375,01-12-2020,December,2020
United States of America,Burlington,1523,120,12,18276,703.2,17572.8,4395,13177.8,01-03-2020,March,2020
Japan,Burlington,3631,120,20,72620,2116.8,70503.2,26460,44043.2,01-09-2018,September,2020
United Kingdom,Burlington,1782,120,350,623700,30478,593222,566020,27202,01-10-2020,October,2020
United Kingdom,Mandarin,347,250,12,4164,415.68,3748.32,2598,1150.32,01-05-2020,May,2020
United States of America,Mandarin,4147,250,350,1451450,4886,1446564,90740,1355824,01-09-2018,September,2020
United Kingdom,Mandarin,3509,250,350,1228150,30478,1197672,566020,631652,01-10-2020,October,2020
Brazil,Mandarin,2774,250,15,41610,908.4,40701.6,15140,25561.6,01-10-2018,October,2020
Brazil,Luxe,2943,260,350,1030050,26110,1003940,484900,519040,01-02-2020,February,2020
Brazil,Luxe,4037,260,125,504625,5370,499255,128880,370375,01-04-2020,April,2020
India,Luxe,4146,260,350,1451100,26698,1424402,495820,928582,01-09-2020,September,2020
United States of America,Luxe,4123,260,15,61845,402.6,61442.4,6710,54732.4,01-10-2018,October,2020
Japan,Luxe,1337,260,350,467950,24892,443058,462280,-19222,01-12-2018,December,2020
India,Royal Oak,599,5,7,4193,405.65,3787.35,5795,-2007.65,01-10-2018,October,2020
India,Vermont,725,10,7,5075,480.2,4594.8,6860,-2265.2,01-01-2020,January,2020
Japan,Vermont,477,10,7,3339,822.15,2516.85,11745,-9228.15,01-09-2018,September,2020
Brazil,Vermont,2325,10,7,16275,941.15,15333.85,13445,1888.85,01-10-2020,October,2020
Japan,Vermont,675,10,12,8100,1458.6,6641.4,7293,-651.6,01-12-2020,December,2020
Japan,Burlington,2990,120,12,35880,1458.6,34421.4,7293,27128.4,01-12-2020,December,2020
Brazil,Mandarin,1072,250,7,7504,941.15,6562.85,13445,-6882.15,01-10-2020,October,2020
Brazil,Luxe,1048,260,7,7336,589.05,6746.95,8415,-1668.05,01-07-2020,July,2020
Brazil,Luxe,469,260,12,5628,673.8,4954.2,3369,1585.2,01-08-2020,August,2020
India,Luxe,804,260,7,5628,405.65,5222.35,5795,-572.65,01-10-2018,October,2020
United Kingdom,Kensington,4240,3,12,50880,1119,49761,5595,44166,01-02-2020,February,2020
India,Kensington,1976,3,12,23712,669.6,23042.4,3348,19694.4,01-02-2020,February,2020
United Kingdom,Kensington,1984,3,20,39680,1563,38117,15630,22487,01-05-2020,May,2020
United States of America,Kensington,480,3,300,144000,14865,129135,247750,-118615,01-06-2020,June,2020
India,Kensington,3551,3,7,24857,355.6,24501.4,5080,19421.4,01-11-2018,November,2020
Brazil,Kensington,1205,3,15,18075,2093.25,15981.75,27910,-11928.25,01-11-2020,November,2020
United States of America,Kensington,2480,3,7,17360,199.5,17160.5,2850,14310.5,01-12-2020,December,2020
United Kingdom,Kensington,2926,3,7,20482,870.45,19611.55,12435,7176.55,01-12-2020,December,2020
United Kingdom,Royal Oak,3210,5,350,1123500,24228.75,1099271.25,359970,739301.25,01-01-2020,January,2020
United States of America,Royal Oak,3221,5,125,402625,22668.75,379956.25,435240,-55283.75,01-07-2020,July,2020
Brazil,Royal Oak,2389,5,350,836150,12600,823550,187200,636350,01-09-2018,September,2020
India,Royal Oak,1127,5,12,13524,1405.2,12118.8,7026,5092.8,01-11-2020,November,2020
Brazil,Royal Oak,319,5,300,95700,16500,79200,275000,-195800,01-12-2018,December,2020
United Kingdom,Vermont,1610,10,20,32200,1303,30897,13030,17867,01-02-2020,February,2020
United States of America,Vermont,4100,10,125,512500,18700,493800,359040,134760,01-03-2020,March,2020
United Kingdom,Vermont,1012,10,125,126500,14906.25,111593.75,286200,-174606.25,01-03-2020,March,2020
Brazil,Vermont,3337,10,300,1001100,24105,976995,401750,575245,01-04-2020,April,2020
United States of America,Vermont,3955,10,7,27685,814.45,26870.55,11635,15235.55,01-05-2020,May,2020
United States of America,Vermont,4347,10,300,1304100,14865,1289235,247750,1041485,01-06-2020,June,2020
United States of America,Vermont,1548,10,350,541800,10535,531265,156520,374745,01-06-2020,June,2020
United Kingdom,Vermont,2153,10,15,32295,1965,30330,26200,4130,01-09-2020,September,2020
Japan,Vermont,3789,10,350,1326150,21490,1304660,319280,985380,01-10-2018,October,2020
Japan,Vermont,4364,10,20,87280,1389,85891,13890,72001,01-10-2018,October,2020
United States of America,Vermont,4126,10,125,515750,5381.25,510368.75,103320,407048.75,01-10-2020,October,2020
United Kingdom,Vermont,1343,10,125,167875,4400,163475,84480,78995,01-10-2018,October,2020
Japan,Vermont,245,10,20,4900,1802,3098,18020,-14922,01-12-2018,December,2020
United States of America,Vermont,3376,10,20,67520,2663,64857,26630,38227,01-12-2020,December,2020
United Kingdom,Vermont,1401,10,7,9807,747.6,9059.4,10680,-1620.6,01-12-2018,December,2020
India,Vermont,3483,10,15,52245,1587,50658,21160,29498,01-12-2018,December,2020
United States of America,Burlington,2244,120,15,33660,416.25,33243.75,5550,27693.75,01-01-2020,January,2020
Brazil,Burlington,1360,120,15,20400,2145.75,18254.25,28610,-10355.75,01-01-2020,January,2020
India,Burlington,279,120,125,34875,5043.75,29831.25,96840,-67008.75,01-02-2020,February,2020
United States of America,Burlington,2521,120,350,882350,10535,871815,156520,715295,01-06-2020,June,2020
United States of America,Burlington,2433,120,20,48660,2832,45828,28320,17508,01-08-2020,August,2020
United Kingdom,Burlington,1738,120,20,34760,1579,33181,15790,17391,01-08-2020,August,2020
United States of America,Burlington,1106,120,125,138250,5381.25,132868.75,103320,29548.75,01-10-2020,October,2020
United Kingdom,Burlington,3379,120,125,422375,4400,417975,84480,333495,01-10-2018,October,2020
United Kingdom,Burlington,1221,120,20,24420,1033,23387,10330,13057,01-12-2018,December,2020
India,Burlington,213,120,300,63900,18750,45150,312500,-267350,01-12-2020,December,2020
Japan,Mandarin,3335,250,20,66700,1389,65311,13890,51421,01-10-2018,October,2020
United States of America,Mandarin,1260,250,20,25200,1265,23935,12650,11285,01-11-2018,November,2020
India,Mandarin,3034,250,20,60680,2297,58383,22970,35413,01-11-2018,November,2020
United States of America,Mandarin,2929,250,20,58580,2663,55917,26630,29287,01-12-2020,December,2020
United States of America,Mandarin,2389,250,7,16723,199.5,16523.5,2850,13673.5,01-12-2020,December,2020
United Kingdom,Mandarin,3086,250,7,21602,870.45,20731.55,12435,8296.55,01-12-2020,December,2020
India,Luxe,745,260,350,260750,23625,237125,351000,-113875,01-02-2020,February,2020
Japan,Luxe,1266,260,350,443100,9660,433440,143520,289920,01-08-2020,August,2020
Japan,Luxe,3790,260,350,1326500,21490,1305010,319280,985730,01-10-2018,October,2020
India,Luxe,4287,260,300,1286100,18750,1267350,312500,954850,01-12-2020,December,2020
United Kingdom,Vermont,3193,10,15,47895,3420.9,44474.1,38010,6464.1,01-04-2020,April,2020
United States of America,Kensington,1967,3,20,39340,1341,37999,11175,26824,01-01-2020,January,2020
Japan,Kensington,631,3,15,9465,2559.6,6905.4,28440,-21534.6,01-06-2020,June,2020
Brazil,Kensington,3469,3,12,41628,404.64,41223.36,1686,39537.36,01-09-2020,September,2020
Japan,Kensington,570,3,12,6840,1655.28,5184.72,6897,-1712.28,01-10-2018,October,2020
United States of America,Kensington,3215,3,15,48225,1827,46398,20300,26098,01-11-2020,November,2020
United States of America,Kensington,3754,3,7,26278,110.46,26167.54,1315,24852.54,01-11-2018,November,2020
India,Kensington,2187,3,125,273375,6652.5,266722.5,106440,160282.5,01-12-2018,December,2020
Brazil,Royal Oak,1959,5,350,685650,20580,665070,254800,410270,01-04-2020,April,2020
India,Royal Oak,2181,5,350,763350,30660,732690,379600,353090,01-05-2020,May,2020
United Kingdom,Royal Oak,3559,5,7,24913,589.26,24323.74,7015,17308.74,01-10-2018,October,2020
United States of America,Royal Oak,2205,5,12,26460,1960.56,24499.44,8169,16330.44,01-11-2020,November,2020
United Kingdom,Vermont,1890,10,350,661500,31416,630084,388960,241124,01-06-2020,June,2020
Japan,Vermont,1296,10,12,15552,1655.28,13896.72,6897,6999.72,01-10-2018,October,2020
United States of America,Vermont,775,10,350,271250,15267,255983,189020,66963,01-10-2018,October,2020
Japan,Burlington,2417,120,125,302125,7140,294985,114240,180745,01-02-2020,February,2020
United States of America,Burlington,1158,120,125,144750,20662.5,124087.5,330600,-206512.5,01-02-2020,February,2020
India,Burlington,803,120,15,12045,1377,10668,15300,-4632,01-05-2020,May,2020
United Kingdom,Burlington,3705,120,350,1296750,31416,1265334,388960,876374,01-06-2020,June,2020
Brazil,Burlington,589,120,7,4123,629.16,3493.84,7490,-3996.16,01-06-2020,June,2020
United Kingdom,Burlington,3797,120,300,1139100,21978,1117122,305250,811872,01-10-2018,October,2020
United Kingdom,Burlington,1321,120,350,462350,43596,418754,539760,-121006,01-10-2018,October,2020
Japan,Mandarin,3999,250,15,59985,2559.6,57425.4,28440,28985.4,01-06-2020,June,2020
Brazil,Mandarin,4256,250,7,29792,629.16,29162.84,7490,21672.84,01-06-2020,June,2020
United Kingdom,Mandarin,1643,250,300,492900,21978,470922,305250,165672,01-10-2018,October,2020
Brazil,Mandarin,1912,250,20,38240,1347.6,36892.4,11230,25662.4,01-11-2018,November,2020
Japan,Mandarin,1610,250,300,483000,43848,439152,609000,-169848,01-12-2018,December,2020
United Kingdom,Luxe,2160,260,125,270000,14906.25,255093.75,238500,16593.75,01-01-2020,January,2020
Brazil,Luxe,466,260,350,163100,35259,127841,436540,-308699,01-09-2020,September,2020
United States of America,Luxe,328,260,350,114800,15267,99533,189020,-89487,01-10-2018,October,2020
United Kingdom,Luxe,4099,260,7,28693,589.26,28103.74,7015,21088.74,01-10-2018,October,2020
United Kingdom,Luxe,990,260,350,346500,43596,302904,539760,-236856,01-10-2018,October,2020
United Kingdom,Royal Oak,1433,5,20,28660,2108.4,26551.6,17570,8981.6,01-10-2018,October,2020
United States of America,Vermont,1478,10,15,22170,1978.2,20191.8,21980,-1788.2,01-08-2020,August,2020
India,Vermont,3798,10,15,56970,1568.7,55401.3,17430,37971.3,01-08-2020,August,2020
United States of America,Vermont,447,10,15,6705,1037.7,5667.3,11530,-5862.7,01-10-2020,October,2020
United Kingdom,Vermont,1711,10,20,34220,2108.4,32111.6,17570,14541.6,01-10-2018,October,2020
India,Burlington,745,120,20,14900,1201.2,13698.8,10010,3688.8,01-08-2020,August,2020
Brazil,Burlington,1732,120,7,12124,559.86,11564.14,6665,4899.14,01-11-2020,November,2020
United States of America,Mandarin,1759,250,15,26385,1037.7,25347.3,11530,13817.3,01-10-2020,October,2020
Brazil,Kensington,338,3,12,4056,610.68,3445.32,2181,1264.32,01-02-2020,February,2020
Japan,Kensington,3911,3,12,46932,1582.56,45349.44,5652,39697.44,01-08-2020,August,2020
Brazil,Kensington,3691,3,20,73820,2567.6,71252.4,18340,52912.4,01-09-2018,September,2020
Brazil,Royal Oak,4473,5,12,53676,1965.6,51710.4,7020,44690.4,01-01-2020,January,2020
United Kingdom,Royal Oak,383,5,12,4596,1967.28,2628.72,7026,-4397.28,01-11-2020,November,2020
United Kingdom,Vermont,3105,10,7,21735,505.19,21229.81,5155,16074.81,01-09-2018,September,2020
Japan,Burlington,1062,120,15,15930,1325.1,14604.9,12620,1984.9,01-05-2020,May,2020
Japan,Burlington,4083,120,7,28581,556.15,28024.85,5675,22349.85,01-06-2020,June,2020
United States of America,Burlington,3974,120,7,27818,268.03,27549.97,2735,24814.97,01-11-2020,November,2020
Japan,Burlington,3723,120,7,26061,775.18,25285.82,7910,17375.82,01-12-2020,December,2020
United Kingdom,Mandarin,2435,250,12,29220,1460.34,27759.66,5215.5,22544.16,01-04-2020,April,2020
India,Mandarin,1678,250,12,20136,1860.6,18275.4,6645,11630.4,01-09-2018,September,2020
Japan,Mandarin,1763,250,7,12341,775.18,11565.82,7910,3655.82,01-12-2020,December,2020
Japan,Luxe,4473,260,7,31311,556.15,30754.85,5675,25079.85,01-06-2020,June,2020
United States of America,Kensington,1246,3,350,436100,43144.5,392955.5,457860,-64904.5,01-03-2020,March,2020
United Kingdom,Kensington,1615,3,300,484500,9408,475092,112000,363092,01-06-2020,June,2020
Brazil,Kensington,1686,3,350,590100,38136,551964,354120,197844,01-12-2020,December,2020
United Kingdom,Royal Oak,3086,5,15,46290,3001.2,43288.8,25010,18278.8,01-03-2020,March,2020
Japan,Royal Oak,4150,5,20,83000,1132.8,81867.2,7080,74787.2,01-06-2020,June,2020
India,Royal Oak,3027,5,20,60540,1032,59508,6450,53058,01-07-2020,July,2020
United Kingdom,Royal Oak,4359,5,300,1307700,37488,1270212,390500,879712,01-08-2020,August,2020
Japan,Royal Oak,3628,5,300,1088400,30792,1057608,320750,736858,01-09-2018,September,2020
India,Royal Oak,1589,5,15,23835,853.2,22981.8,7110,15871.8,01-12-2020,December,2020
Brazil,Vermont,2679,10,125,334875,11140,323735,133680,190055,01-03-2020,March,2020
India,Vermont,3401,10,7,23807,705.04,23101.96,6295,16806.96,01-04-2020,April,2020
India,Vermont,2815,10,7,19705,613.2,19091.8,5475,13616.8,01-05-2020,May,2020
India,Vermont,2964,10,20,59280,2185.6,57094.4,13660,43434.4,01-06-2020,June,2020
Brazil,Vermont,4173,10,300,1251900,59040,1192860,615000,577860,01-06-2020,June,2020
United States of America,Vermont,1157,10,7,8099,379.68,7719.32,3390,4329.32,01-08-2020,August,2020
India,Vermont,3065,10,7,21455,894.88,20560.12,7990,12570.12,01-08-2020,August,2020
India,Vermont,1962,10,7,13734,1349.04,12384.96,12045,339.96,01-09-2018,September,2020
India,Vermont,4080,10,20,81600,3094.4,78505.6,19340,59165.6,01-09-2020,September,2020
Brazil,Vermont,1713,10,20,34260,4788.8,29471.2,29930,-458.8,01-09-2020,September,2020
India,Vermont,2795,10,350,978250,60088,918162,557960,360202,01-11-2018,November,2020
Brazil,Vermont,4082,10,7,28574,1089.76,27484.24,9730,17754.24,01-12-2018,December,2020
Brazil,Vermont,1691,10,350,591850,38136,553714,354120,199594,01-12-2020,December,2020
Japan,Burlington,2305,120,12,27660,574.08,27085.92,1794,25291.92,01-03-2020,March,2020
United States of America,Burlington,3401,120,7,23807,1627.92,22179.08,14535,7644.08,01-06-2020,June,2020
India,Burlington,2288,120,7,16016,1309.28,14706.72,11690,3016.72,01-06-2020,June,2020
United Kingdom,Burlington,2399,120,300,719700,9264,710436,96500,613936,01-11-2018,November,2020
Brazil,Burlington,4086,120,300,1225800,15240,1210560,158750,1051810,01-12-2020,December,2020
United Kingdom,Mandarin,2651,250,350,927850,16086,911764,149370,762394,01-04-2020,April,2020
India,Mandarin,3971,250,7,27797,1309.28,26487.72,11690,14797.72,01-06-2020,June,2020
United Kingdom,Mandarin,2512,250,350,879200,10668,868532,99060,769472,01-08-2020,August,2020
India,Mandarin,2745,250,350,960750,11816,948934,109720,839214,01-08-2020,August,2020
Japan,Mandarin,1903,250,300,570900,51216,519684,533500,-13816,01-09-2020,September,2020
United States of America,Mandarin,647,250,300,194100,19392,174708,202000,-27292,01-12-2018,December,2020
Japan,Luxe,2914,260,20,58280,1132.8,57147.2,7080,50067.2,01-06-2020,June,2020
United States of America,Luxe,1889,260,7,13223,1627.92,11595.08,14535,-2939.92,01-06-2020,June,2020
